word,part_of_speech,meaning,chinese_translation,related_words,difficulty,notes
demonstrate,verb,"to clearly show the existence or truth of something",证明；展示,"demonstration (n.); demonstrated (v.)",Medium,""
considerable,adjective,"large in amount, extent, or degree",相当大的,"considerably (adv.); consider (v.); consideration (n.)",Medium,""
substantial,adjective,"of considerable importance, size, or worth",大量的；实质的,"substantially (adv.); substance (n.)",Medium,""
phenomenon,noun,"a fact or situation observed to exist or happen",现象,"phenomena (plural); phenomenal (adj.)",High,""
hypothesis,noun,"a proposed explanation made on limited evidence, to be tested",假设,"hypothesize (v.); hypothetical (adj.)",High,""
methodology,noun,"a system of methods used in a particular field or study",方法论,"method (n.); methodological (adj.)",High,""
comprehensive,adjective,"complete and including everything necessary",全面的,"comprehensively (adv.); comprehend (v.); comprehension (n.)",High,""
inevitable,adjective,"certain to happen; unavoidable",不可避免的,"inevitably (adv.)",High,""
subsequent,adjective,"coming after something in time",随后的,"subsequently (adv.)",Medium,""
approximately,adverb,"close to a particular number or amount, but not exact",大约,"approximate (adj./v.); approximation (n.)",High,"high frequency in Describe Image, Essay, SWT"
determine,verb,"to establish or ascertain something precisely",确定；决定,"determination (n.); determined (adj.)",Medium,""
increase,"noun / verb","to become or make greater in size, amount, or degree",增加,"increasingly (adv.); increased (adj.)",Medium,"noun/verb stress pair"
decrease,"noun / verb","to become or make smaller in size, amount, or degree",减少,"decreasingly (adv.); decreased (adj.)",Medium,"noun/verb stress pair"
context,noun,"the circumstances that form the setting for an event or idea",背景；语境,"contextual (adj.); contextualize (v.)",Medium,""
concept,noun,"an abstract idea or general notion",概念,"conceptual (adj.); conceptualize (v.)",Low,""
structure,noun,"the arrangement of and relations between the parts of something",结构,"structural (adj.); structured (adj.); restructure (v.)",Medium,""
function,"noun / verb","an activity or purpose natural to a person or thing; to operate",功能；运作,"functional (adj.); functionality (n.); malfunction (n./v.)",Low,""
process,"noun / verb","a series of actions taken to achieve a result",过程；处理,"processed (adj.); processing (n.)",Low,"spelling-predicted vowel error"
factor,noun,"a circumstance contributing to a result",因素,"factorial (n.); factored (adj.)",Low,""
variable,"adjective / noun","able or likely to change; a factor that can vary",可变的；变量,"variably (adv.); variability (n.)",Medium,""
sufficient,adjective,"enough for a purpose",足够的,"sufficiently (adv.); insufficient (adj.)",Medium,"minimal pair with efficient"
efficient,adjective,"achieving maximum productivity with minimum wasted effort",高效的,"efficiently (adv.); efficiency (n.); inefficient (adj.)",Medium,"minimal pair with sufficient"
influence,"noun / verb","the capacity to have an effect on someone or something",影响,"influential (adj.); influenced (v.)",Medium,""
impact,"noun / verb","a marked effect or influence",影响；冲击,"impactful (adj.)",Medium,"noun/verb stress pair"
perspective,noun,"a particular attitude toward or way of viewing something",视角；观点,"perspectives (pl.)",High,""
strategy,noun,"a plan of action designed to achieve a goal",策略,"strategic (adj.); strategically (adv.); strategize (v.)",Medium,""
principle,noun,"a fundamental truth or proposition serving as a foundation",原则,"principled (adj.); principal (homophone, different word)",Medium,""
theory,noun,"a supposition or system of ideas explaining something",理论,"theoretical (adj.); theoretically (adv.); theorize (v.)",Low,""
evidence,noun,"facts or information indicating whether something is true",证据,"evident (adj.); evidently (adv.)",Medium,""
conclude,verb,"to bring to an end; to deduce from evidence",得出结论；结束,"conclusion (n.); conclusive (adj.)",Medium,""
assume,verb,"to accept as true without proof",假设；假定,"assumption (n.); assumed (adj.)",Low,"GA yod-dropping detail"
achieve,verb,"to successfully bring about a desired result",实现；达到,"achievement (n.); achievable (adj.)",Low,""
maintain,verb,"to keep something in an existing state",维持；保持,"maintenance (n.); maintained (adj.)",Low,""
obtain,verb,"to get or acquire something",获得,"obtainable (adj.)",Medium,""
contribute,verb,"to give something in order to help achieve a result",贡献；促成,"contribution (n.); contributor (n.)",Medium,""
distribute,verb,"to give shares of something to a number of recipients",分配；分发,"distribution (n.); distributor (n.)",Medium,""
investigate,verb,"to carry out research or a systematic inquiry",调查；研究,"investigation (n.); investigator (n.)",High,""
eliminate,verb,"to completely remove or get rid of something",消除,"elimination (n.)",High,""
emphasize,verb,"to give special importance to something",强调,"emphasis (n.); emphatic (adj.)",Medium,""
illustrate,verb,"to explain or make clear by using examples or pictures",说明；举例说明,"illustration (n.); illustrative (adj.)",High,""
benefit,"noun / verb","an advantage or profit gained from something",好处；益处,"beneficial (adj.); beneficiary (n.)",Medium,""
advantage,noun,"a condition giving a favorable position",优势,"advantageous (adj.); disadvantage (n.)",Medium,""
disadvantage,noun,"an unfavorable circumstance or condition",劣势；不利条件,"disadvantaged (adj.)",High,""
challenge,"noun / verb","a task or situation that tests ability",挑战,"challenging (adj.); challenged (adj.)",Low,""
opportunity,noun,"a favorable time or set of circumstances",机会,"opportune (adj.)",High,""
solution,noun,"a means of solving a problem",解决方案,"solve (v.); solvable (adj.)",Low,"-tion suffix stress example"
problem,noun,"a matter requiring a solution",问题,"problematic (adj.)",Low,""
issue,"noun / verb","an important topic for debate; to distribute officially",问题；议题；发布,"issued (v.)",Low,""
situation,noun,"a set of circumstances at a particular time",情况；情景,"situated (adj.)",Medium,"-tion suffix stress example"
circumstance,noun,"a fact or condition connected with an event",情况；条件,"circumstantial (adj.)",High,""
condition,"noun / verb","the state of something; a requirement",条件；状况,"conditional (adj.); unconditional (adj.)",Low,"-tion suffix stress example"
relationship,noun,"the way in which two people or things are connected",关系,"relate (v.); related (adj.)",Medium,""
communication,noun,"the exchange of information",沟通；交流,"communicate (v.); communicative (adj.)",High,"-tion suffix stress example"
technology,noun,"the application of scientific knowledge for practical purposes",技术；科技,"technological (adj.); technologically (adv.)",Medium,"commonly mis-stressed word"
innovation,noun,"a new method, idea, or product",创新,"innovative (adj.); innovate (v.)",Medium,"-tion suffix stress example"
traditional,adjective,"conforming to established custom",传统的,"tradition (n.); traditionally (adv.)",Medium,""
global,adjective,"relating to the whole world",全球的,"globally (adv.); globalization (n.)",Medium,""
economic,adjective,"relating to economics or the economy",经济的,"economy (n.); economically (adv.); economics (n.)",High,"-ic suffix stress example; stress-shift pair with economy"
economy,noun,"the wealth and resources of a country or region",经济,"economic (adj.); economical (adj.); economist (n.)",High,"stress-shift pair with economic"
society,noun,"people living together as a community",社会,"social (adj.); sociable (adj.)",Low,""
population,noun,"the inhabitants of a particular area",人口,"populate (v.); populated (adj.)",High,"-tion suffix stress example"
generation,noun,"all people born around the same time",一代人；一代,"generate (v.); generational (adj.)",Medium,"-tion suffix stress example"
government,noun,"the group with authority to govern a country or state",政府,"govern (v.); governmental (adj.)",High,""
policy,noun,"a course of action adopted by an organization or government",政策,"policies (pl.); policymaker (n.)",Low,""
education,noun,"the process of teaching or learning",教育,"educate (v.); educational (adj.)",High,"-tion suffix stress example"
knowledge,noun,"facts, information, and skills acquired through experience",知识,"knowledgeable (adj.)",Medium,"silent k spelling mismatch"
skill,noun,"the ability to do something well",技能,"skilled (adj.); skillful (adj.)",Medium,""
experience,"noun / verb","practical contact with and observation of events",经验；经历,"experienced (adj.); experiential (adj.)",Medium,""
professional,"adjective / noun","relating to a profession; competent and skilled",专业的；专业人士,"profession (n.); professionally (adv.)",Medium,""
resource,noun,"a stock or supply that can be drawn on",资源,"resourceful (adj.); resources (pl.)",Low,""
essential,adjective,"absolutely necessary",必要的；本质的,"essentially (adv.); essence (n.)",Medium,""
crucial,adjective,"of great importance",至关重要的,"crucially (adv.)",Medium,""
valuable,adjective,"worth a great deal; useful",有价值的,"value (n./v.); invaluable (adj.)",Medium,""
reliable,adjective,"consistently good in quality or performance",可靠的,"rely (v.); reliability (n.); unreliable (adj.)",Medium,""
flexible,adjective,"able to bend or adapt easily",灵活的,"flexibility (n.); flexibly (adv.)",High,""
accurate,adjective,"correct and precise",准确的,"accuracy (n.); accurately (adv.); inaccurate (adj.)",Medium,""
appropriate,"adjective / verb","suitable or fitting; to take for one's own use",恰当的；适当的；拨用,"appropriately (adv.); inappropriate (adj.)",High,"adjective/verb ending alternation"
suitable,adjective,"right or appropriate for a particular purpose",合适的,"suitably (adv.); unsuitable (adj.)",Low,""
reasonable,adjective,"fair and sensible",合理的,"reason (n./v.); reasonably (adv.); unreasonable (adj.)",Medium,""
remarkable,adjective,"worthy of attention; extraordinary",卓越的；显著的,"remarkably (adv.); remark (n./v.)",Medium,""
dramatic,adjective,"sudden and striking",戏剧性的；急剧的,"drama (n.); dramatically (adv.)",Medium,"-ic suffix stress example"
gradual,adjective,"happening slowly over a period of time",逐渐的,"gradually (adv.)",Medium,""
steady,adjective,"firmly fixed or consistent",稳定的,"steadily (adv.)",Low,""
rapid,adjective,"happening in a short time; fast",迅速的,"rapidly (adv.)",Low,""
decline,"noun / verb","a gradual decrease; to become smaller or worse",下降；衰退,"declining (adj.)",Medium,"non-example: no noun/verb stress shift"
fluctuate,verb,"to rise and fall irregularly",波动,"fluctuation (n.)",High,""
proportion,noun,"a part or share in relation to a whole",比例,"proportional (adj.); proportionate (adj.)",Medium,""
percentage,noun,"a rate or proportion per hundred",百分比,"percent (n.)",Medium,""
majority,noun,"more than half of a group",大多数,"major (adj.); majorities (pl.)",Medium,"contrast pair with minority"
minority,noun,"the smaller part of a group",少数,"minor (adj.); minorities (pl.)",Medium,"contrast pair with majority"
average,"noun / adjective / verb","a typical or middle value; usual",平均；平均的,"averagely (adv.)",Low,""
overall,"adjective / adverb","taking everything into account; in total",总体的；总体而言,"",High,""
approximate,"adjective / verb","close to accurate, but not exact; to estimate closely",大概的；估计,"approximately (adv.); approximation (n.)",High,"adjective/verb ending alternation"
compare,verb,"to assess similarities and differences",比较,"comparison (n.); comparable (adj.); comparative (adj.)",Low,""
contrast,"noun / verb","a marked difference; to show a difference clearly",对比；对照,"contrasting (adj.)",Medium,"noun/verb stress pair"
similar,adjective,"resembling without being identical",相似的,"similarly (adv.); similarity (n.)",Medium,"commonly mis-stressed word"
differ,verb,"to be unlike or distinct",不同；相异,"different (adj.); difference (n.)",Low,""
equivalent,"adjective / noun","equal in value, amount, or meaning",相当的；等价物,"equivalently (adv.); equivalence (n.)",Medium,""
correspond,verb,"to match or be in agreement with",相符；通信,"correspondence (n.); corresponding (adj.)",High,""
represent,verb,"to stand for or symbolize",代表；表示,"representative (n./adj.); representation (n.)",High,""
