"id","prompt_zh","prompt_fr","answer_fr","answer_zh","prompt","audio_url","prompt_audio_url"
"dialogue_11","[主线问答｜日常生活｜习惯追问] 您怎样安排自己的时间？","Comment organisez-vous votre temps ?","J'essaie de définir mes priorités à l'avance. Cela me permet de rester efficace tout en gardant du temps pour ma vie personnelle.","我会尽量提前确定优先事项。这样既能保持效率，也能为个人生活留出时间。","主线问答 · 日常生活 · 习惯追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-comment-organisez-vous-votre-temps.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-comment-organisez-vous-votre-temps.mp3"
"dialogue_12","[主线问答｜日常生活｜变化追问] 有没有一个您想改变的习惯？","Y a-t-il une habitude que vous aimeriez changer ?","J'aimerais être plus régulier dans ma pratique du français. Même quinze minutes par jour seraient plus efficaces qu'une longue séance de temps en temps.","我希望自己练习法语时更有规律。每天哪怕十五分钟，也比偶尔进行一次很长的练习更有效。","主线问答 · 日常生活 · 变化追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-y-a-t-il-une-habitude-que-vous-aimeriez-changer.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-y-a-t-il-une-habitude-que-vous-aimeriez-changer.mp3"
"dialogue_13","[主线问答｜周末与爱好｜爱好问题] 您空闲时做什么？","Que faites-vous pendant votre temps libre ?","Pendant mon temps libre, j'aime apprendre les langues et découvrir de nouvelles cultures. Ces activités me permettent de rester curieux et d'élargir ma façon de voir les choses.","空闲时我喜欢学习语言和了解新的文化。这些活动让我保持好奇，也能拓宽看问题的方式。","主线问答 · 周末与爱好 · 爱好问题","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-que-faites-vous-pendant-votre-temps-libre.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-que-faites-vous-pendant-votre-temps-libre.mp3"
"dialogue_14","[主线问答｜周末与爱好｜周末追问] 您周末通常做什么？","Que faites-vous habituellement le week-end ?","Le week-end, j'essaie de trouver un équilibre entre le repos, le temps en famille et mes projets personnels. Je réserve aussi un moment à la pratique du français.","周末我努力在休息、陪伴家人和个人计划之间取得平衡，也会留出一些时间练习法语。","主线问答 · 周末与爱好 · 周末追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-que-faites-vous-habituellement-le-week-end.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-que-faites-vous-habituellement-le-week-end.mp3"
"dialogue_15","[主线问答｜周末与爱好｜偏好追问] 您更喜欢待在家还是外出？为什么？","Préférez-vous rester chez vous ou sortir ? Pourquoi ?","Cela dépend de la semaine. Après une période chargée, je préfère rester chez moi pour me reposer, mais j'aime aussi sortir pour découvrir un nouvel endroit avec ma famille.","这取决于一周的情况。忙碌之后我更喜欢在家休息，但我也喜欢和家人外出探索新的地方。","主线问答 · 周末与爱好 · 偏好追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-preferez-vous-rester-chez-vous-ou-sortir-pourquoi.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-preferez-vous-rester-chez-vous-ou-sortir-pourquoi.mp3"
"dialogue_16","[主线问答｜家庭｜家庭问题] 您能介绍一下您的家庭吗？","Pouvez-vous me parler de votre famille ?","Ma famille occupe une place très importante dans ma vie. Nous essayons de passer du temps ensemble et de nous soutenir dans nos projets.","家庭在我的生活中非常重要。我们会努力共度时间，并在各自的计划中互相支持。","主线问答 · 家庭 · 家庭问题","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-pouvez-vous-me-parler-de-votre-famille.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-pouvez-vous-me-parler-de-votre-famille.mp3"
"dialogue_17","[主线问答｜家庭｜活动追问] 你们喜欢一起做什么？","Qu'aimez-vous faire ensemble ?","Nous aimons partager un repas ou découvrir un nouvel endroit. Ce sont des moments simples, mais ils nous permettent de parler et de rester proches.","我们喜欢一起吃饭或探索一个新地方。这些时刻虽然简单，却让我们能够交流并保持亲近。","主线问答 · 家庭 · 活动追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-qu-aimez-vous-faire-ensemble.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-qu-aimez-vous-faire-ensemble.mp3"
"dialogue_18","[主线问答｜家庭｜价值追问] 哪一种家庭价值对您很重要？","Quelle valeur familiale est importante pour vous ?","Pour moi, la communication est essentielle. Quand on parle ouvertement, il est plus facile de comprendre les besoins de chacun et d'éviter les malentendus.","对我来说沟通至关重要。大家坦诚交流时，更容易理解彼此的需要并避免误会。","主线问答 · 家庭 · 价值追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-quelle-valeur-familiale-est-importante-pour-vous.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-quelle-valeur-familiale-est-importante-pour-vous.mp3"
"dialogue_19","[主线问答｜加拿大生活｜居住问题] 您喜欢加拿大生活的哪些方面？","Qu'est-ce que vous aimez dans la vie au Canada ?","J'apprécie particulièrement la diversité culturelle du Canada. On peut rencontrer des personnes de différents horizons et apprendre à voir les choses autrement.","我特别欣赏加拿大的文化多样性。人们可以遇到来自不同背景的人，并学习用不同方式看待事物。","主线问答 · 加拿大生活 · 居住问题","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-qu-est-ce-que-vous-aimez-dans-la-vie-au-canada.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-qu-est-ce-que-vous-aimez-dans-la-vie-au-canada.mp3"
"dialogue_20","[主线问答｜加拿大生活｜适应追问] 您在这里安顿时遇到过困难吗？","Avez-vous rencontré des difficultés en vous installant ici ?","Oui, il faut du temps pour comprendre un nouvel environnement et de nouvelles habitudes. J'essaie de rester ouvert, de poser des questions et d'apprendre progressivement.","有，理解新的环境和生活习惯需要时间。我努力保持开放、多提问并逐步学习。","主线问答 · 加拿大生活 · 适应追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-avez-vous-rencontre-des-difficultes-en-vous-installant-ici.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-avez-vous-rencontre-des-difficultes-en-vous-installant-ici.mp3"
"dialogue_21","[主线问答｜加拿大生活｜比较追问] 加拿大和您的祖国有什么不同？","Qu'est-ce qui est différent entre le Canada et votre pays d'origine ?","Le rythme de vie et les habitudes de communication peuvent être différents. Je ne dirais pas qu'un système est meilleur que l'autre, mais cette différence demande une certaine adaptation.","生活节奏和沟通习惯可能有所不同。我不会说哪一种更好，但这种差异确实需要适应。","主线问答 · 加拿大生活 · 比较追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-qu-est-ce-qui-est-different-entre-le-canada-et-votre-pays-d-orig.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-qu-est-ce-qui-est-different-entre-le-canada-et-votre-pays-d-orig.mp3"
"dialogue_22","[主线问答｜未来计划｜计划问题] 您未来有什么计划？","Quels sont vos projets pour l'avenir ?","À court terme, je voudrais améliorer mon français oral. À plus long terme, j'aimerais l'utiliser avec confiance dans ma vie quotidienne et professionnelle au Canada.","短期内我想提高法语口语。长期来看，我希望能在加拿大的日常生活和工作中自信地使用法语。","主线问答 · 未来计划 · 计划问题","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-quels-sont-vos-projets-pour-l-avenir.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-quels-sont-vos-projets-pour-l-avenir.mp3"
"dialogue_23","[主线问答｜未来计划｜目标追问] 您准备怎样实现这个目标？","Comment allez-vous atteindre cet objectif ?","Je vais pratiquer un peu chaque jour et travailler surtout la compréhension des questions. Je veux également enregistrer mes réponses pour repérer mes hésitations.","我会每天练习一点，尤其训练听懂问题。我也想录下自己的回答，以发现犹豫的地方。","主线问答 · 未来计划 · 目标追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-comment-allez-vous-atteindre-cet-objectif.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-comment-allez-vous-atteindre-cet-objectif.mp3"
"dialogue_24","[主线问答｜未来计划｜动机追问] 为什么这个计划对您很重要？","Pourquoi ce projet est-il important pour vous ?","Ce projet est important parce que la langue facilite la communication et l'intégration. Progresser en français me donnera aussi davantage d'autonomie et de confiance.","这个计划很重要，因为语言能促进沟通和融入。法语进步也会让我更加独立和自信。","主线问答 · 未来计划 · 动机追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-pourquoi-ce-projet-est-il-important-pour-vous.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-pourquoi-ce-projet-est-il-important-pour-vous.mp3"
"dialogue_25","[临时发散｜自我介绍｜临时发散 · 个性] 您是比较沉稳的人，还是比较有活力的人？","Vous êtes plutôt une personne calme ou dynamique ?","Je suis plutôt une personne calme, surtout lorsque je dois prendre une décision. Cela ne m'empêche pas d'être dynamique quand un projet demande de l'énergie.","我属于比较沉稳的人，尤其是在需要作决定时。不过，当一个项目需要投入精力时，我也会很有行动力。","临时发散 · 自我介绍 · 临时发散 · 个性","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-vous-etes-plutot-une-personne-calme-ou-dynamique.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-vous-etes-plutot-une-personne-calme-ou-dynamique.mp3"
"dialogue_26","[临时发散｜自我介绍｜临时发散 · 经历] 您最为哪一项个人成就感到自豪？","De quelle réussite personnelle êtes-vous le plus fier ?","Je suis fier d'avoir construit progressivement mon projet professionnel. Cette expérience m'a appris à être patient, responsable et adaptable.","我为自己逐步建立职业项目感到自豪。这段经历让我学会了耐心、责任感和适应能力。","临时发散 · 自我介绍 · 临时发散 · 经历","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-de-quelle-reussite-personnelle-etes-vous-le-plus-fier.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-de-quelle-reussite-personnelle-etes-vous-le-plus-fier.mp3"
"dialogue_27","[临时发散｜工作与经历｜临时发散 · 变化] 您是否考虑过换职业？","Avez-vous déjà pensé à changer de métier ?","Oui, j'y ai déjà pensé, car il est important de rester ouvert aux nouvelles possibilités. Cependant, je préfère un changement progressif et bien préparé.","是的，我考虑过，因为对新的可能性保持开放很重要。不过，我更喜欢循序渐进、准备充分的改变。","临时发散 · 工作与经历 · 临时发散 · 变化","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-avez-vous-deja-pense-a-changer-de-metier.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-avez-vous-deja-pense-a-changer-de-metier.mp3"
"dialogue_28","[临时发散｜工作与经历｜临时发散 · 问题处理] 工作中突然出现问题时，您会怎么做？","Que faites-vous lorsqu'un problème imprévu arrive au travail ?","Je commence par comprendre la situation et identifier la priorité. Ensuite, je parle avec les personnes concernées afin de trouver une solution concrète.","我会先了解情况并确定优先事项，然后与相关人员沟通，寻找具体的解决方案。","临时发散 · 工作与经历 · 临时发散 · 问题处理","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-que-faites-vous-lorsqu-un-probleme-imprevu-arrive-au-travail.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-que-faites-vous-lorsqu-un-probleme-imprevu-arrive-au-travail.mp3"
"dialogue_29","[临时发散｜法语学习｜临时发散 · 学习偏好] 您更喜欢独自学习法语，还是和别人一起学习？","Préférez-vous apprendre le français seul ou avec d'autres personnes ?","Je préfère combiner les deux. Seul, je peux travailler à mon rythme, mais avec d'autres personnes, je développe davantage ma spontanéité.","我更喜欢结合两种方式。独自学习时可以按照自己的节奏，和别人一起时则能更好地训练即时表达。","临时发散 · 法语学习 · 临时发散 · 学习偏好","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-preferez-vous-apprendre-le-francais-seul-ou-avec-d-autres-person.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-preferez-vous-apprendre-le-francais-seul-ou-avec-d-autres-person.mp3"
"dialogue_30","[临时发散｜法语学习｜临时发散 · 使用场景] 您希望在哪种情况下更自如地说法语？","Dans quelle situation aimeriez-vous parler français avec plus d'aisance ?","J'aimerais parler avec plus d'aisance dans les situations professionnelles. Cela me permettrait de mieux expliquer mes idées et de communiquer avec davantage de confiance.","我希望在工作场景中更自如地说法语。这样我能更好地解释自己的想法，也能更有信心地交流。","临时发散 · 法语学习 · 临时发散 · 使用场景","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-dans-quelle-situation-aimeriez-vous-parler-francais-avec-plus-d.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-dans-quelle-situation-aimeriez-vous-parler-francais-avec-plus-d.mp3"
"dialogue_31","[临时发散｜日常生活｜临时发散 · 作息] 您更喜欢早上活动还是晚上活动？","Êtes-vous plutôt du matin ou du soir ?","Je suis plutôt du matin, car je me concentre mieux au début de la journée. J'essaie donc de traiter les tâches importantes assez tôt.","我更喜欢早上，因为一天开始时我的注意力更好，所以我会尽量较早处理重要事情。","临时发散 · 日常生活 · 临时发散 · 作息","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-etes-vous-plutot-du-matin-ou-du-soir.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-etes-vous-plutot-du-matin-ou-du-soir.mp3"
"dialogue_32","[临时发散｜日常生活｜临时发散 · 家务] 您最不喜欢哪一项日常事务？","Quelle tâche quotidienne aimez-vous le moins ?","J'aime moins les tâches répétitives, parce qu'elles prennent du temps. Pour les gérer, j'essaie de les planifier et de les terminer sans les repousser.","我不太喜欢重复性的事务，因为它们很花时间。为了处理好，我会尽量提前安排，不把它们拖延。","临时发散 · 日常生活 · 临时发散 · 家务","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-quelle-tache-quotidienne-aimez-vous-le-moins.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-quelle-tache-quotidienne-aimez-vous-le-moins.mp3"
"dialogue_33","[临时发散｜周末与爱好｜临时发散 · 新爱好] 有没有一项您想尝试的新活动？","Y a-t-il une nouvelle activité que vous aimeriez essayer ?","J'aimerais essayer une activité qui me permette de rencontrer davantage de francophones. Ce serait à la fois agréable et utile pour pratiquer la langue.","我想尝试一种能让我认识更多法语使用者的活动。这样既有趣，也有助于练习语言。","临时发散 · 周末与爱好 · 临时发散 · 新爱好","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-y-a-t-il-une-nouvelle-activite-que-vous-aimeriez-essayer.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-y-a-t-il-une-nouvelle-activite-que-vous-aimeriez-essayer.mp3"
"dialogue_34","[临时发散｜周末与爱好｜临时发散 · 社交] 您通常和谁一起度过空闲时间？","Avec qui passez-vous généralement votre temps libre ?","Je passe généralement mon temps libre avec ma famille. Nous aimons partager un repas, discuter ou découvrir un nouvel endroit.","我通常和家人一起度过空闲时间。我们喜欢一起吃饭、聊天或探索一个新地方。","临时发散 · 周末与爱好 · 临时发散 · 社交","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-avec-qui-passez-vous-generalement-votre-temps-libre.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-avec-qui-passez-vous-generalement-votre-temps-libre.mp3"
"dialogue_35","[临时发散｜家庭｜临时发散 · 平衡] 兼顾工作和家庭生活容易吗？","Est-il facile de concilier le travail et la vie de famille ?","Ce n'est pas toujours facile, surtout pendant les périodes chargées. Pour garder un équilibre, j'essaie de bien organiser mes priorités et de réserver du temps à ma famille.","这并不总是容易，尤其是在忙碌时期。为了保持平衡，我会安排好优先事项，并为家庭留出时间。","临时发散 · 家庭 · 临时发散 · 平衡","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-est-il-facile-de-concilier-le-travail-et-la-vie-de-famille.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-est-il-facile-de-concilier-le-travail-et-la-vie-de-famille.mp3"
"dialogue_36","[临时发散｜家庭｜临时发散 · 影响] 生活中哪一个人对您影响很大？","Quelle personne vous a beaucoup influencé dans votre vie ?","Une personne de ma famille m'a beaucoup influencé par son sens des responsabilités. Grâce à elle, j'ai appris à rester sérieux et persévérant face aux difficultés.","家里有一个人以强烈的责任感影响了我。受其影响，我学会了在困难面前保持认真和坚持。","临时发散 · 家庭 · 临时发散 · 影响","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-quelle-personne-vous-a-beaucoup-influence-dans-votre-vie.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-quelle-personne-vous-a-beaucoup-influence-dans-votre-vie.mp3"
"dialogue_37","[临时发散｜加拿大生活｜临时发散 · 探索] 您想探索加拿大的哪个地方？","Quel endroit du Canada aimeriez-vous découvrir ?","J'aimerais découvrir davantage de régions naturelles du Canada. Les paysages sont très variés, et ce serait une bonne occasion de mieux connaître le pays.","我想更多地探索加拿大的自然地区。这里的景观非常多样，这也是更好了解这个国家的机会。","临时发散 · 加拿大生活 · 临时发散 · 探索","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-quel-endroit-du-canada-aimeriez-vous-decouvrir.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-quel-endroit-du-canada-aimeriez-vous-decouvrir.mp3"
"dialogue_38","[临时发散｜加拿大生活｜临时发散 · 气候] 您觉得加拿大的冬天怎么样？","Comment trouvez-vous l'hiver au Canada ?","L'hiver est assez long et parfois difficile, mais on s'y adapte progressivement. Je pense qu'une bonne organisation et des activités adaptées rendent cette saison plus agréable.","冬天比较漫长，有时也很难适应，但人会逐渐习惯。我认为做好安排并选择合适的活动，会让冬季更愉快。","临时发散 · 加拿大生活 · 临时发散 · 气候","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-comment-trouvez-vous-l-hiver-au-canada.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-comment-trouvez-vous-l-hiver-au-canada.mp3"
"dialogue_39","[临时发散｜未来计划｜临时发散 · 调整] 如果您的计划没有按预期发展，您会怎么办？","Que ferez-vous si votre projet ne se passe pas comme prévu ?","Je commencerai par analyser les raisons du problème. Ensuite, j'adapterai mon plan, car un objectif important demande parfois plus de temps que prévu.","我会先分析问题的原因，然后调整计划，因为重要目标有时需要比预期更多的时间。","临时发散 · 未来计划 · 临时发散 · 调整","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-que-ferez-vous-si-votre-projet-ne-se-passe-pas-comme-prevu.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-que-ferez-vous-si-votre-projet-ne-se-passe-pas-comme-prevu.mp3"
"dialogue_40","[临时发散｜未来计划｜临时发散 · 梦想] 您有没有一个希望有一天实现的梦想？","Avez-vous un rêve que vous aimeriez réaliser un jour ?","J'aimerais construire une vie stable tout en continuant à apprendre et à découvrir de nouvelles choses. Pour moi, réussir signifie progresser sans perdre l'équilibre personnel.","我希望建立稳定的生活，同时继续学习和探索新事物。对我来说，成功意味着在不断进步的同时不失去个人生活的平衡。","临时发散 · 未来计划 · 临时发散 · 梦想","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-avez-vous-un-reve-que-vous-aimeriez-realiser-un-jour.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-avez-vous-un-reve-que-vous-aimeriez-realiser-un-jour.mp3"
