"id","prompt_zh","answer_fr","prompt","audio_url"
"34","[09 课程、协会、文化活动｜1] 报名之前，我想具体了解这个活动是怎么进行的。","Avant de m'inscrire, j'aimerais comprendre concrètement comment l'activité se déroule.","课程、协会、文化活动","https://evolxd.github.io/TCFOral/audio/b2/tache2-09-e-c-a-a-a-a-a-a-01-avant-de-m-inscrire-j-aimerais-comprendre-concretement-comment-l.mp3?v=18"
"35","[09 课程、协会、文化活动｜2] 它面向什么人群？参加需要什么水平？","À quel public s'adresse-t-elle, et quel niveau faut-il avoir pour participer ?","课程、协会、文化活动","https://evolxd.github.io/TCFOral/audio/b2/tache2-09-e-c-a-a-a-a-a-a-02-a-quel-public-s-adresse-t-elle-et-quel-niveau-faut-il-avoir-pour.mp3?v=18"
"36","[09 课程、协会、文化活动｜3] 这个项目是比较自由轻松，还是有明确目标的结构化安排？","Le programme est-il plutôt libre et convivial, ou bien structuré avec des objectifs précis ?","课程、协会、文化活动","https://evolxd.github.io/TCFOral/audio/b2/tache2-09-e-c-a-a-a-a-a-a-03-le-programme-est-il-plutot-libre-et-convivial-ou-bien-structure.mp3?v=18"
"37","[09 课程、协会、文化活动｜4] 一般来说，每次有多少人参加？","En général, combien de personnes participent à chaque séance ?","课程、协会、文化活动","https://evolxd.github.io/TCFOral/audio/b2/tache2-09-e-c-a-a-a-a-a-a-04-en-general-combien-de-personnes-participent-a-chaque-seance.mp3?v=18"
"38","[09 课程、协会、文化活动｜5] 在长期报名之前，可以先试听或试参加一次吗？","Enfin, est-il possible de faire un essai avant de s'engager pour une période plus longue ?","课程、协会、文化活动","https://evolxd.github.io/TCFOral/audio/b2/tache2-09-e-c-a-a-a-a-a-a-05-enfin-est-il-possible-de-faire-un-essai-avant-de-s-engager-pour.mp3?v=18"
"39","[10 旅游、交通、租车｜1] 为了安排这次出行，您能告诉我最实用的选择吗？","Pour organiser ce déplacement, pourriez-vous m'indiquer les options les plus pratiques ?","旅游、交通、租车","https://evolxd.github.io/TCFOral/audio/b2/tache2-10-a-a-e-a-c-e-01-pour-organiser-ce-deplacement-pourriez-vous-m-indiquer-les-optio.mp3?v=18"
"40","[10 旅游、交通、租车｜2] 我主要想比较价格、路程时间和舒适度。","Je voudrais surtout comparer le prix, la durée du trajet et le niveau de confort.","旅游、交通、租车","https://evolxd.github.io/TCFOral/audio/b2/tache2-10-a-a-e-a-c-e-02-je-voudrais-surtout-comparer-le-prix-la-duree-du-trajet-et-le-ni.mp3?v=18"
"41","[10 旅游、交通、租车｜3] 预订之前，需要准备文件、保险，或者注意取消条件吗？","Avant de réserver, y a-t-il des documents, une assurance ou des conditions d'annulation à prévoir ?","旅游、交通、租车","https://evolxd.github.io/TCFOral/audio/b2/tache2-10-a-a-e-a-c-e-03-avant-de-reserver-y-a-t-il-des-documents-une-assurance-ou-des-co.mp3?v=18"
"42","[10 旅游、交通、租车｜4] 如果真的出现延误或问题，应该走什么流程？","Et si jamais il y a un retard ou un problème, quelle est la procédure à suivre ?","旅游、交通、租车","https://evolxd.github.io/TCFOral/audio/b2/tache2-10-a-a-e-a-c-e-04-et-si-jamais-il-y-a-un-retard-ou-un-probleme-quelle-est-la-proce.mp3?v=18"
"43","[10 旅游、交通、租车｜5] 如果我的预算有限，您会优先推荐哪种方案？","Si mon budget est limité, quelle solution me conseilleriez-vous en priorité ?","旅游、交通、租车","https://evolxd.github.io/TCFOral/audio/b2/tache2-10-a-a-e-a-c-e-05-si-mon-budget-est-limite-quelle-solution-me-conseilleriez-vous-e.mp3?v=18"
"44","[11 预约与服务细节｜1] 确认之前，我想核实几个实际信息。","Avant de confirmer, j'aimerais vérifier quelques informations pratiques.","预约与服务细节","https://evolxd.github.io/TCFOral/audio/b2/tache2-11-e-c-a-a-c-e-01-avant-de-confirmer-j-aimerais-verifier-quelques-informations-pra.mp3?v=18"
"45","[11 预约与服务细节｜2] 有哪些可选时间、准确价格，以及接受哪些付款方式？","Quels sont les horaires disponibles, les tarifs exacts et les moyens de paiement acceptés ?","预约与服务细节","https://evolxd.github.io/TCFOral/audio/b2/tache2-11-e-c-a-a-c-e-02-quels-sont-les-horaires-disponibles-les-tarifs-exacts-et-les-moy.mp3?v=18"
"46","[11 预约与服务细节｜3] 我这边需要提前到达，或者携带某个特别文件吗？","De mon côté, faut-il arriver en avance ou apporter un document particulier ?","预约与服务细节","https://evolxd.github.io/TCFOral/audio/b2/tache2-11-e-c-a-a-c-e-03-de-mon-cote-faut-il-arriver-en-avance-ou-apporter-un-document-pa.mp3?v=18"
"47","[11 预约与服务细节｜4] 如果我需要修改或取消预约，流程是怎样的？","Et si je dois modifier ou annuler la réservation, comment cela se passe-t-il ?","预约与服务细节","https://evolxd.github.io/TCFOral/audio/b2/tache2-11-e-c-a-a-c-e-04-et-si-je-dois-modifier-ou-annuler-la-reservation-comment-cela-se.mp3?v=18"
"48","[11 预约与服务细节｜5] 有没有什么实用建议，可以让整个过程更顺利？","Y a-t-il des recommandations utiles pour que tout se passe dans de bonnes conditions ?","预约与服务细节","https://evolxd.github.io/TCFOral/audio/b2/tache2-11-e-c-a-a-c-e-05-y-a-t-il-des-recommandations-utiles-pour-que-tout-se-passe-dans.mp3?v=18"
"49","[12 照看孩子/宠物与送礼｜1] 为了确保把事情做好，我想先了解他的习惯和偏好。","Pour être sûr de faire les choses correctement, j'aimerais d'abord connaître ses habitudes et ses préférences.","照看孩子/宠物与送礼","https://evolxd.github.io/TCFOral/audio/b2/tache2-12-c-c-a-a-a-c-a-e-c-01-pour-etre-sur-de-faire-les-choses-correctement-j-aimerais-d-abor.mp3?v=18"
"50","[12 照看孩子/宠物与送礼｜2] 有没有他特别喜欢的东西，或者相反最好避免的东西？","Y a-t-il quelque chose qu'il aime particulièrement, ou au contraire quelque chose qu'il vaut mieux éviter ?","照看孩子/宠物与送礼","https://evolxd.github.io/TCFOral/audio/b2/tache2-12-c-c-a-a-a-c-a-e-c-02-y-a-t-il-quelque-chose-qu-il-aime-particulierement-ou-au-contrai.mp3?v=18"
"51","[12 照看孩子/宠物与送礼｜3] 如果出现问题或意外，我应该优先联系谁？","En cas de problème ou d'imprévu, qui dois-je contacter en priorité ?","照看孩子/宠物与送礼","https://evolxd.github.io/TCFOral/audio/b2/questions-28-cadeau-enfant-animal-03-en-cas-de-probleme-ou-d-imprevu-qui-dois-je-contacter-en-priorit.mp3?v=18"
"52","[12 照看孩子/宠物与送礼｜4] 如果我选择礼物，您更希望是实用的、个人化的，还是更有象征意义的？","Si je choisis un cadeau, préférez-vous quelque chose d'utile, de personnel ou plutôt symbolique ?","照看孩子/宠物与送礼","https://evolxd.github.io/TCFOral/audio/b2/tache2-12-c-c-a-a-a-c-a-e-c-04-si-je-choisis-un-cadeau-preferez-vous-quelque-chose-d-utile-de-p.mp3?v=18"
"53","[12 照看孩子/宠物与送礼｜5] 我宁愿提前问清楚，因为一个小细节有时会改变整个安排。","Je préfère poser ces questions à l'avance, car un petit détail peut parfois changer l'organisation.","照看孩子/宠物与送礼","https://evolxd.github.io/TCFOral/audio/b2/tache2-12-c-c-a-a-a-c-a-e-c-05-je-prefere-poser-ces-questions-a-l-avance-car-un-petit-detail-pe.mp3?v=18"
"54","[13 追问与确认｜1] 当您说这是可以的，这是特殊情况，还是通常都可以这样做？","Quand vous dites que c'est possible, est-ce une possibilité exceptionnelle ou une pratique habituelle ?","追问与确认","https://evolxd.github.io/TCFOral/audio/b2/questions-29-relances-intelligentes-01-quand-vous-dites-que-c-est-possible-est-ce-une-possibilite-excep.mp3?v=18"
"55","[13 追问与确认｜2] 如果我理解正确，我需要先预约，然后确认细节，是这样吗？","Si je comprends bien, je dois d'abord réserver, puis confirmer les détails, c'est bien cela ?","追问与确认","https://evolxd.github.io/TCFOral/audio/b2/tache2-13-e-e-a-c-e-02-si-je-comprends-bien-je-dois-d-abord-reserver-puis-confirmer-les.mp3?v=18"
"56","[13 追问与确认｜3] 在实际操作中，人们最常选择哪种方案？","Dans la pratique, quelle solution les gens choisissent-ils le plus souvent ?","追问与确认","https://evolxd.github.io/TCFOral/audio/b2/questions-29-relances-intelligentes-03-dans-la-pratique-quelle-solution-les-gens-choisissent-ils-le-plu.mp3?v=18"
"57","[13 追问与确认｜4] 决定之前，有没有我应该注意的缺点？","Y a-t-il un inconvénient auquel je devrais faire attention avant de décider ?","追问与确认","https://evolxd.github.io/TCFOral/audio/b2/questions-29-relances-intelligentes-04-y-a-t-il-un-inconvenient-auquel-je-devrais-faire-attention-avant.mp3?v=18"
"58","[13 追问与确认｜5] 如果您站在我的位置，您会选择哪个选项？为什么？","Si vous étiez à ma place, quelle option choisiriez-vous, et pourquoi ?","追问与确认","https://evolxd.github.io/TCFOral/audio/b2/questions-29-relances-intelligentes-05-si-vous-etiez-a-ma-place-quelle-option-choisiriez-vous-et-pourqu.mp3?v=18"
"59","[14 结束对话｜1] 谢谢，您的解释非常清楚。","Merci, vos explications sont très claires.","结束对话","https://evolxd.github.io/TCFOral/audio/b2/tache2-14-c-a-e-01-merci-vos-explications-sont-tres-claires.mp3?v=18"
"60","[14 结束对话｜2] 我现在会把这些信息和自己的实际限制比较一下。","Je vais maintenant comparer ces informations avec mes contraintes personnelles.","结束对话","https://evolxd.github.io/TCFOral/audio/b2/tache2-14-c-a-e-02-je-vais-maintenant-comparer-ces-informations-avec-mes-contrainte.mp3?v=18"
"61","[14 结束对话｜3] 初步来看，这个方案完全可以考虑，不过我想再安静地核实一下。","À première vue, cette solution me paraît tout à fait envisageable, mais je préfère vérifier tranquillement.","结束对话","https://evolxd.github.io/TCFOral/audio/b2/tache2-14-c-a-e-03-a-premiere-vue-cette-solution-me-parait-tout-a-fait-envisageable.mp3?v=18"
"62","[14 结束对话｜4] 我会花一点时间考虑，然后再确认。","Je vais prendre un moment pour réfléchir avant de confirmer.","结束对话","https://evolxd.github.io/TCFOral/audio/b2/tache2-14-c-a-e-04-je-vais-prendre-un-moment-pour-reflechir-avant-de-confirmer.mp3?v=18"
"63","[14 结束对话｜5] 如果我还需要补充确认，我会很快再联系您。","Si j'ai besoin d'une précision supplémentaire, je vous recontacterai rapidement.","结束对话","https://evolxd.github.io/TCFOral/audio/b2/tache2-14-c-a-e-05-si-j-ai-besoin-d-une-precision-supplementaire-je-vous-recontacte.mp3?v=18"
"64","[15 四段式万能论证｜1] 在我看来，这个问题不能回答得过于简单，因为它既涉及个人选择，也涉及社会组织。","À mon avis, on ne peut pas répondre à cette question de manière trop simple, car elle touche à la fois aux choix individuels et à l'organisation de la société.","四段式万能论证","https://evolxd.github.io/TCFOral/audio/b2/tache3-15-a-a-a-e-e-e-01-a-mon-avis-on-ne-peut-pas-repondre-a-cette-question-de-maniere-t.mp3?v=18"
"65","[15 四段式万能论证｜2] 我总体上比较支持这个想法，但前提是不要把它当成万能解决方案。","Je serais plutôt favorable à cette idée, à condition qu'on ne la présente pas comme une solution miracle.","四段式万能论证","https://evolxd.github.io/TCFOral/audio/b2/tache3-15-a-a-a-e-e-e-02-je-serais-plutot-favorable-a-cette-idee-a-condition-qu-on-ne-la.mp3?v=18"
"66","[15 四段式万能论证｜3] 一方面，这种情况可能带来实际好处；另一方面，如果缺少规范，也可能造成困难。","D'un côté, cette situation peut présenter des avantages concrets, tandis que de l'autre, elle peut engendrer des difficultés si elle est mal encadrée.","四段式万能论证","https://evolxd.github.io/TCFOral/audio/b2/tache3-15-a-a-a-e-e-e-03-d-un-cote-cette-situation-peut-presenter-des-avantages-concrets.mp3?v=18"
"67","[15 四段式万能论证｜4] 例如，在日常生活中，一项措施对某些群体可能很有效，但对另一些人可能很难执行。","Par exemple, dans la vie quotidienne, une mesure peut très bien fonctionner pour certains publics, mais devenir difficile à appliquer pour d'autres.","四段式万能论证","https://evolxd.github.io/TCFOral/audio/b2/tache3-15-a-a-a-e-e-e-04-par-exemple-dans-la-vie-quotidienne-une-mesure-peut-tres-bien-fo.mp3?v=18"
"68","[15 四段式万能论证｜5] 所以我认为关键是要在效率、公平和责任之间寻找平衡。","C'est pourquoi je pense que l'essentiel est de chercher un équilibre entre efficacité, justice et responsabilité.","四段式万能论证","https://evolxd.github.io/TCFOral/audio/b2/tache3-15-a-a-a-e-e-e-05-c-est-pourquoi-je-pense-que-l-essentiel-est-de-chercher-un-equil.mp3?v=18"
"69","[16 Intégration et identité｜1] 在我看来，融入不应等同于抹去原有身份。","Selon moi, l'intégration ne doit pas être confondue avec l'effacement de l'identité d'origine.","Intégration et identité","https://evolxd.github.io/TCFOral/audio/b2/tache3-16-inta-gration-et-identita-01-selon-moi-l-integration-ne-doit-pas-etre-confondue-avec-l-efface.mp3?v=18"
"70","[16 Intégration et identité｜2] 融入不是让自己变得不可见，而是在保留个人经历的同时学习接纳国的规则。","S'intégrer, ce n'est pas devenir invisible, mais apprendre les codes du pays d'accueil tout en gardant une part de son histoire.","Intégration et identité","https://evolxd.github.io/TCFOral/audio/b2/tache3-16-inta-gration-et-identita-02-s-integrer-ce-n-est-pas-devenir-invisible-mais-apprendre-les-cod.mp3?v=18"
"71","[16 Intégration et identité｜3] 当每个人接受共同框架时，社会会更有凝聚力。","Concrètement, une société est plus cohérente lorsque chacun accepte un cadre commun.","Intégration et identité","https://evolxd.github.io/TCFOral/audio/b2/tache3-16-inta-gration-et-identita-03-concretement-une-societe-est-plus-coherente-lorsque-chacun-accep.mp3?v=18"
"72","[16 Intégration et identité｜4] 但当差异能够表达而不被视为威胁时，社会也会更丰富。","En même temps, elle est aussi plus riche lorsque les différences peuvent s'exprimer sans être vues comme une menace.","Intégration et identité","https://evolxd.github.io/TCFOral/audio/b2/tache3-16-inta-gration-et-identita-04-en-meme-temps-elle-est-aussi-plus-riche-lorsque-les-differences.mp3?v=18"
"73","[16 Intégration et identité｜5] 成功的融入因此建立在适应和尊重个人经历之间的平衡上。","L'intégration réussie repose donc sur un équilibre entre adaptation et respect des parcours personnels.","Intégration et identité","https://evolxd.github.io/TCFOral/audio/b2/tache3-16-inta-gration-et-identita-05-l-integration-reussie-repose-donc-sur-un-equilibre-entre-adaptat.mp3?v=18"
"74","[17 École et égalité des chances｜1] 学校很重要，因为它传授知识和方法。","Pour moi, l'école joue un rôle essentiel, car elle transmet des connaissances et des méthodes.","École et égalité des chances","https://evolxd.github.io/TCFOral/audio/b2/tache3-17-a-cole-et-a-galita-des-chances-01-pour-moi-l-ecole-joue-un-role-essentiel-car-elle-transmet-des-co.mp3?v=18"
